工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,13000-26000元,五险一金/定期体检/加班补助/年终奖/带薪年假/员工旅游/免费班车/餐补/通讯补贴/交通补助/节日福利/零食下午茶,"【软通动力信息技术（集团）有限公司】
作为中国智慧城市与产业互联网（互联网+）建设的领导者，领先的创新型技术服务提供商，软通动力立足中国，服务全球。公司主营业务涵盖智慧业务与信息技术服务两大领域，具备端到端“软件 +服务”综合业务能力和强大的纵深服务优势。
在智慧业务领域","FY2019 S2-飞天八部数据库RDS管控项目岗位要求：
可独立完整的完成Python开发项目，不仅限于网站开发和爬虫开发，对项目有清晰的业务思路；
3. 对LIUNX操作系统及其各种常用的服务熟悉；
4. 熟悉数据库原理，熟悉MySQL数据库等
5. 良好的沟通协调能力，团队协作能力。
6. 熟练GIT
7. 有云架构开发运维经验优先
岗位职责：
1. 高并发功能模块开发.
2. 数据库管控流程开发.
3. 各模块的API开发.
项目背景： 阿里云分布式NoSQL云数据库管控研发：针对NoSQL云数据库的特性，通过管控平台实现对应的管控能力，包括实例的售卖、监控、性能采集、变配、备份等等相关开发。
参与运维支撑平台的建设，运维相关的新技术的研究，从提升开发效率、降低运维人力成本出发，设计并搭建运维平台；负责RDS中间件服务的基础运维工具的开发、提高自动化运维水平、故障响应能力、优化资源使用率；https://www.aliyun.com/product/rds/mysql",杭州市 西湖区 中大银座
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,10000-15000元,五险一金/定期体检/年终奖/带薪年假/免费班车/节日福利/零食下午茶/绩效奖金,"软通动力信息技术（集团）有限公司：

软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数5000","项目在江宁文鼎广场办公，python开发工程师岗位…
如果愿意做python自动化测试岗位也可以应聘",南京江宁区文鼎广场
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,8000-12000元,五险一金/定期体检/年终奖/带薪年假/免费班车/节日福利/零食下午茶/绩效奖金,"软通动力信息技术（集团）有限公司：

软通动力信息技术（集团）有限公司（以下简称：软通动力）是中国领先的创新型软件及信息技术服务商，数字经济使能者。公司2001年成立于北京，立足中国，服务全球市场。经过17年发展，目前公司在全球36个城市设有90余个分支机构25个全球交付中心，员工总数5000","CIE岗位
掌握常用linux命令，能熟练使用shell脚本。
具备良好的代码能力和学习能力，掌握python/java/ruby等一种或多种语言（python优先）。
有良好的沟通和表达能力（要直接对接多领域人员），工作踏实，主动性好。",西安雁塔区西安环普科技产业园E1二楼
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,3000-6000元,五险一金/补充医疗保险/定期体检/带薪年假/餐补/通讯补贴/交通补助/节日福利/住房补贴/零食下午茶,VIPKID是全球增长速度最快的在线少儿英语教育品牌，纯北美外教1对1在线授课，通过互联网的方式将中国小朋友与北美老师连接起来。VIPKID使用对标美国小学课程标准(CCSS：美国共同核心州立标准)的定制课程，运用第二语言高效的教学方法——浸入式教学法，帮助孩子快乐学习。20,在线教育独角兽-大数据部-算法标注实习生，包含语音、图像、文本、智能客服等算法的标注和工具开发，旨在提效、提升算法准确率、源数据处理、样本数据准备等,北京东城区雍和大厦F座
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,12000-18000元,五险一金/加班补助/带薪年假/餐补/兴趣协会/移动互联网/带薪年假/扁平管理,VIPKID是全球增长速度最快的在线少儿英语教育品牌，纯北美外教1对1在线授课，通过互联网的方式将中国小朋友与北美老师连接起来。VIPKID使用对标美国小学课程标准(CCSS：美国共同核心州立标准)的定制课程，运用第二语言高效的教学方法——浸入式教学法，帮助孩子快乐学习。20,在线教育独角兽-大数据部-算法标注实习生，包含语音、图像、文本、智能客服等算法的标注和工具开发，旨在提效、提升算法准确率、源数据处理、样本数据准备等,北京东城区雍和大厦F座
工作,薪水,工作标签,公司介绍,职位描述,工作地址
Python,7000-12000元,五险一金/定期体检/加班补助/年终奖/带薪年假/员工旅游/免费班车/餐补/通讯补贴/交通补助/节日福利/零食下午茶,"【软通动力信息技术（集团）有限公司】
作为中国智慧城市与产业互联网（互联网+）建设的领导者，领先的创新型技术服务提供商，软通动力立足中国，服务全球。公司主营业务涵盖智慧业务与信息技术服务两大领域，具备端到端“软件 +服务”综合业务能力和强大的纵深服务优势。
在智慧业务领域","Python开发
岗位职责：
1. 负责Python软件、服务器程序、网站后台设计，相关算法研发和优化。
2. 参与应用设计与方案讨论。
3. 负责实现软件、应用程序代码，建立和完善开发文档。
4. 协助对所开发的功能进行测试，协助产品部署。
岗位要求：
1. 熟练掌握Python的使用，有一定的python web开发经验，熟悉Tornado优先。
2. 至少会使用一种数据库技术，如Oracle、SQL Sever、Mysql、PostgreSQL等。
3. 熟悉Bootstrap、Node.js、.NET、Linux Shell优先。
4. 有良好的编程习惯，沟通能力强，能够独自编写技术文档。
5. 具备较好的学习能力、问题分析能力，可以独立调试解决问题。
6. 良好的沟通协调能力和团队合作意识，工作踏实，态度积极，能够承受工作压力。",东莞光大·We谷B1栋3楼
工作,薪水,工作标签,公司介绍,职位描述,工作地址
